Face,Track Number,Track_Name,Track_Composer,Track_Length,LP_ID,Track Length,Track Filename
A,1,TUPI GUARANI,(Kyre'y),1:47,LP2711,1'56,LP2711_1z1_A01.mp3
A,2,MI PERDON,,2:26,LP2711,2'29,LP2711_1z1_A02.mp3
A,3,EL GAUCHO RAMON,,2:12,LP2711,2'16,LP2711_1z1_A03.mp3
A,4,R. C. 9 CAPITAN BADO,,2:24,LP2711,2'27,LP2711_1z1_A04.mp3
A,5,MARIPOSA MI,(Che valle mi momoravo),2:37,LP2711,2'45,LP2711_1z1_A05.mp3
A,6,INDIA,,6:37,LP2711,6'38,LP2711_1z1_A06.mp3
B,1,AMOR PROFUNDO,(Mboracjhú asy),2:59,LP2711,3'42,LP2711_1z1_B01.mp3
B,2,GLORIA BEATRIZ,,3:17,LP2711,2'20,LP2711_1z1_B02.mp3
B,3,ÑA POCHÓ,,2:40,LP2711,2'45,LP2711_1z1_B03.mp3
B,4,EL PERFUME DE TU FLOR,(Nde poty ryacuangue mi),3:35,LP2711,2'48,LP2711_1z1_B04.mp3
B,5,CHE JAZMIN,,3:06,LP2711,3'08,LP2711_1z1_B05.mp3
B,6,SAN BERNARDINO,,2:35,LP2711,2'37,LP2711_1z1_B06.mp3
B,7,NO ESTOY ENOJADO CONTIGO,(Nda che pochi i nendivé),2:44,LP2711,3'01,LP2711_1z1_B07.mp3
A,1,LOS HERMANOS,Atahualpa Yupanqui,,LP2704,3'18,LP2704_1z1_A01.mp3
A,2,DE LA BAILANTA,Washington Benavidez - Carlos Benavidez,,LP2704,2'59,LP2704_1z1_A02.mp3
A,3,POBRE MARTIN,Georges Brassens,,LP2704,2'52,LP2704_1z1_A03.mp3
A,4,CANCION DE NUESTRO TIEMPO,Ignacio Suárez - Yamandú Palacios,,LP2704,4'16,LP2704_1z1_A04.mp3
A,5,EL GAVILAN,anonyme Vénézuélien,,LP2704,3'15,LP2704_1z1_A05.mp3
B,1,DECIMAS POLITICAS,Yamandú Palacios,,LP2704,5'04,LP2704_1z1_B01.mp3
B,2,CANCION PARA UN HOMBRE-NIÑO,Yamandú Palacios - Ignacio Suárez,,LP2704,2'55,LP2704_1z1_B02.mp3
B,3,CANTO A UN COMPAÑEROCAIDO,Saúl Ibargoyen - Yamandú Palacios,,LP2704,3'28,LP2704_1z1_B03.mp3
B,4,COPLAS AL COMPADRE JUAN MIGUEL,Yamandú Palacios - Oscar del Monte,,LP2704,3'06,LP2704_1z1_B04.mp3
B,5,VEA PATRON,Aníbal Sampayo,,LP2704,2'47,LP2704_1z1_B05.mp3
A,1,SERENATA COCGUA,Diosnel Chase,,LP2719,2'53,LP2719_1z1_A01.mp3
A,2,SELECCION DE POLCAS,Félix Pérez Cardozo,,LP2719,3'09,LP2719_1z1_A02.mp3
A,3,ELVIRA,Germán González,,LP2719,2'30,LP2719_1z1_A03.mp3
A,4,MBORACJHU,Nonato Verón,,LP2719,2'29,LP2719_1z1_A04.mp3
A,5,MIRTHA ELIZABETH,Torga - Alvarez,,LP2719,2'47,LP2719_1z1_A05.mp3
A,6,MARINA,Germán Bobadilla,,LP2719,2'58,LP2719_1z1_A06.mp3
B,1,PARAGUAIPE,J A. Flores - M. Ortíz Guerrero,,LP2719,2'55,LP2719_1z1_B01.mp3
B,2,NOVIA QUERIDA,D Germán - C. Bordón,,LP2719,3'23,LP2719_1z1_B02.mp3
B,3,POLCA TATU,Mot Popular - Rec. y Arr L. Alvarez,,LP2719,2'12,LP2719_1z1_B03.mp3
B,4,EMBELEZO,Aurelio Fiorio,,LP2719,2'09,LP2719_1z1_B04.mp3
B,5,PEQUEÑA FLOR,R. Mendoza - E. Hermosilla,,LP2719,2'47,LP2719_1z1_B05.mp3
B,6,HUMAITA,Aurelio Fiorio,,LP2719,3'25,LP2719_1z1_B06.mp3
A,1,LOS HERMANOS,(Atahualpa Yupanqui),,LP2703,3'17,LP2703_1z1_A01.mp3
A,2,DE LA BAILANTA,(Washington Benavidez-Carlos Benavidez),,LP2703,2'59,LP2703_1z1_A02.mp3
A,3,POBRE MARTIN,(George Brassens),,LP2703,2'52,LP2703_1z1_A03.mp3
A,4,CANCION DE NUESTRO TIEMPO,(Ignacio Suárez-Yamandú Palacios),,LP2703,4'17,LP2703_1z1_A04.mp3
A,5,EL GAVILAN,(Anonimo venezuelano),,LP2703,3'15,LP2703_1z1_A05.mp3
B,1,DECIMAS POLITICAS,(Yamandú Palacios),,LP2703,5'05,LP2703_1z1_B01.mp3
B,2,CANCION PARA UN HOMBRE-NIÑO,(Yamandú Palacios-Ignacio Suárez),,LP2703,2'55,LP2703_1z1_B02.mp3
B,3,CANTO A UN COMPAÑERO CAIDO,(Saúl Ibargoyen-Yamandú Palacios),,LP2703,3'29,LP2703_1z1_B03.mp3
B,4,COPLAS AL COMPADRE JUAN MIGUEL,(Yamandú Palacios-Oscar del Monte),,LP2703,3'07,LP2703_1z1_B04.mp3
B,5,VEA PATRON,(Aníbal Sampayo),,LP2703,2'46,LP2703_1z1_B05.mp3
A,1,CHE MANDUA-VO,de Teodoro S. Mongelós,,LP2716,2'11,LP2716_1z1_A01.mp3
A,2,LUCERITO ALVA,de Eladio Martínez,,LP2716,2'21,LP2716_1z1_A02.mp3
A,3,GUAVIRA POTY,de M. C. Ocampo,,LP2716,2'44,LP2716_1z1_A03.mp3
A,4,ERMITA,de José R. Bogado y E. Orué,,LP2716,2'25,LP2716_1z1_A04.mp3
A,5,MI CARAPEGÜEÑA,de Jorge A. Amarilla y B. Mosqueira,,LP2716,2'44,LP2716_1z1_A05.mp3
A,6,PACHOLÍ,de Eleuterio Villalba,,LP2716,2'41,LP2716_1z1_A06.mp3
A,7,PIRAYÚ - MÍ,de Herminio Giménez,,LP2716,missing,LP2716_1z1_A07.mp3
A,8,PURAJHEI-CHU-I,de Elenita D. Nuñez,,LP2716,missing,LP2716_1z1_A08.mp3
A,9,SERENATA CHU-I,de Francisco Jara,,LP2716,missing,LP2716_1z1_A09.mp3
A,10,CANDOROSA MARIPOSA,de Florencio R. Vera y Augusto Galeano,,LP2716,missing,LP2716_1z1_A10.mp3
B,1,YA VYAKE LO MITA,Motivo Popular,,LP2716,2'53,LP2716_1z1_B01.mp3
B,2,NDA RECOI LA CULPA,de Samuel Aguayo,,LP2716,2'32,LP2716_1z1_B02.mp3
B,3,ISLA SACA,de Santiago Cortesi,,LP2716,2'09,LP2716_1z1_B03.mp3
B,4,GUSTAVITO,de Prisciliano Villalba,,LP2716,2'23,LP2716_1z1_B04.mp3
B,5,FELICIDADES,de Cirilo R. Zayas,,LP2716,2'49,LP2716_1z1_B05.mp3
B,6,24 DE JUNIO F B. C.,de Augusto Galeano,,LP2716,2'37,LP2716_1z1_B06.mp3
B,7,GLADYS,de Eleuterio Villalba,,LP2716,missing,LP2716_1z1_B07.mp3
B,8,CHE SY-MI PORA,de M. C. Ocampo,,LP2716,missing,LP2716_1z1_B08.mp3
B,9,ANGELA ROSA,de F Pérez Cardozo,,LP2716,missing,LP2716_1z1_B09.mp3
B,10,MI SUEÑO DE AMOR,de Jorge A. Amarilla y Prisciliano Villalba,,LP2716,missing,LP2716_1z1_B10.mp3
1.a,1,ANIVE CHE MBOTAVI,(Valentín Gamarra-Nelson Enciso),,LP2717,missing,LP2717_1z1_1.a01.mp3
1.b,2,CHE MBURUCUYA POTY,(Jovino Espinola-Nelson Enciso),,LP2717,missing,LP2717_1z1_1.b02.mp3
1.c,3,DESPRECIOGUI NEMBIASI,(Adriano Cabaña Paredes),,LP2717,missing,LP2717_1z1_1.c03.mp3
1.d,4,VIAI JHA NEMBIASI,(Adriano Cabaña Paredes),solo instrumental,LP2717,missing,LP2717_1z1_1.d04.mp3
1.e,5,"M SERENATA COEMBA
me",(Mauricio Cardozo Ocampo),,LP2717,missing,LP2717_1z1_1.e05.mp3
1.f,6,TOVIA CHE RECOVE,(Juan C. González-Esteban Mora),,LP2717,missing,LP2717_1z1_1.f06.mp3
2.a,1,LEJOS DE TI,(Carlos Alvarez-Nelson Enciso),,LP2717,missing,LP2717_1z1_2.a01.mp3
2.b,2,VEN QUE TE ESPERO,(Florencio Argüello),,LP2717,missing,LP2717_1z1_2.b02.mp3
2.c,3,ALBA ROSA,(José Borda Ferrer-Tomás Benítez Valdez),,LP2717,missing,LP2717_1z1_2.c03.mp3
2.d,4,NOSTALGIA MISIONERA,(Francisco Cardena),solo instrumental,LP2717,missing,LP2717_1z1_2.d04.mp3
2.e,5,ALBA ESTELA,(Florencio Argüello-Tomás Benítez Valdez),,LP2717,missing,LP2717_1z1_2.e05.mp3
2.f,6,POR TU DESDEN,(Pancho Cardena),,LP2717,missing,LP2717_1z1_2.f06.mp3
A,1,Horfandad,,,LP2860,2'45,LP2860_1z1_A01.mp3
A,2,Mi consuelo,,,LP2860,2'51,LP2860_1z1_A02.mp3
A,3,Cholita orureñita,,,LP2860,2'34,LP2860_1z1_A03.mp3
A,4,Teresita,,,LP2860,2'49,LP2860_1z1_A04.mp3
A,5,Vallunita,,,LP2860,2'47,LP2860_1z1_A05.mp3
A,6,Locamente,,,LP2860,2'34,LP2860_1z1_A06.mp3
B,1,Canta pajarillo,,,LP2860,2'51,LP2860_1z1_B01.mp3
B,2,Traición,,,LP2860,2'51,LP2860_1z1_B02.mp3
B,3,Viéndome con otra,,,LP2860,2'31,LP2860_1z1_B03.mp3
B,4,Valle y cordillera,,,LP2860,2'43,LP2860_1z1_B04.mp3
B,5,Mi patria,,,LP2860,2'47,LP2860_1z1_B05.mp3
B,6,Ojos azules,,,LP2860,3'01,LP2860_1z1_B06.mp3
A,1,FELICIDADES,Cirilo R. Zayas.,,LP2718,2'57,LP2718_1z1_A01.mp3
A,2,GUAIMI PYSAPE,Autor anónimo.,,LP2718,2'25,LP2718_1z1_A02.mp3
A,3,MI POBRE VIDA,Armando Rivero-Ramón Arroyo.,,LP2718,2'45,LP2718_1z1_A03.mp3
A,4,GRAN SEÑOR EXTRANJERO,L. Leguizamón.,,LP2718,3'17,LP2718_1z1_A04.mp3
A,5,RECUERDO DE AYER,Pablo Almirón- Aníbal Lovera.,,LP2718,2'46,LP2718_1z1_A05.mp3
A,6,MI SUEÑO FELIZ,Lorenzo Leguizamón.,,LP2718,1'59,LP2718_1z1_A06.mp3
A,7,PALOMA SAITE,"Clementino Ocampo-Tomás B.
Valdez.",,LP2718,3'00,LP2718_1z1_A07.mp3
B,1,OFRENDA DE UN QUERER,Alberto R. Marecos,,LP2718,2'28,LP2718_1z1_B01.mp3
B,2,PARAGUARI,,,LP2718,2'54,LP2718_1z1_B02.mp3
B,3,JOSEFINA,"M. M. Cardozo Ocampo L. G. Aniceto
Sánchez.",,LP2718,3'25,LP2718_1z1_B03.mp3
B,4,NDA RECOI LA CULPA,Autor anónimo.,,LP2718,3'24,LP2718_1z1_B04.mp3
B,5,PIJHARE AMANGUYPE,"FP Cardozo Emi iano
R. Fernández.",,LP2718,3'47,LP2718_1z1_B05.mp3
B,6,CHE VALLEMI YAGUARON,F P Cardozo.,,LP2718,2'49,LP2718_1z1_B06.mp3
B,7,YA TE PERDONE,A. Montoya Correa - E. Martínez.,,LP2718,2'33,LP2718_1z1_B07.mp3
A,1,MUY CERCA DE TI,Giménez-Ben Molar,,LP2705,1'50,LP2705_1z1_A01.mp3
A,2,BOQUITA DE MIEL,J Esculies-J O S. Cordero,,LP2705,2'36,LP2705_1z1_A02.mp3
A,3,EL JANGADERO,Ramón Ayala,,LP2705,2'06,LP2705_1z1_A03.mp3
A,4,TUS LAGRIMAS,D Ortiz-Ben Molar,,LP2705,1'57,LP2705_1z1_A04.mp3
A,5,RECUERDOS DE YPACARAI,D Ortiz-Z de Mirkin,,LP2705,2'13,LP2705_1z1_A05.mp3
A,6,PALOMA BLANCA,Neneco Norton,,LP2705,2'52,LP2705_1z1_A06.mp3
B,1,JUNTITOS LOS DOS,D Ortiz-Z de Mirkin,,LP2705,2'06,LP2705_1z1_B01.mp3
B,2,MI ASUNCION PORA,A. Benítez-A. de los Ríos,,LP2705,2'15,LP2705_1z1_B02.mp3
B,3,QUE SERA DE TI,D Ortiz-M T Márquez,,LP2705,2'18,LP2705_1z1_B03.mp3
B,4,PICAFLOR AZUL,Aníbal Sampayo,,LP2705,2'34,LP2705_1z1_B04.mp3
B,5,QUISIERA DECIRTE,Neneco Norton-J Bernabé,,LP2705,2'31,LP2705_1z1_B05.mp3
B,6,ESPERANZA MIA,Demetrio Ortiz,,LP2705,2'06,LP2705_1z1_B06.mp3
A,1,PUNTANITA,Canción,,LP2710,2'30,LP2710_1z1_A01.mp3
A,2,LUI RYEVU,Galopa,,LP2710,2'46,LP2710_1z1_A02.mp3
A,3,CHE PONCHO CHARAMI,Polka,,LP2710,2'08,LP2710_1z1_A03.mp3
A,4,MISIONES,Galopa,,LP2710,2'43,LP2710_1z1_A04.mp3
A,5,ANI REROVIA,Canción,,LP2710,2'18,LP2710_1z1_A05.mp3
A,6,TAPERE,Canción,,LP2710,2'59,LP2710_1z1_A06.mp3
B,1,CA' AGUI RIACUA,Polka,,LP2710,2'41,LP2710_1z1_B01.mp3
B,2,ASUNCENA,Canción,,LP2710,2'22,LP2710_1z1_B02.mp3
B,3,MAITEIPA CHE IRU CUERA,Polka,,LP2710,2'32,LP2710_1z1_B03.mp3
B,4,QUIOQUIO,Compuesto,,LP2710,2'45,LP2710_1z1_B04.mp3
B,5,ISLA PUCU,Galopa,,LP2710,2'55,LP2710_1z1_B05.mp3
B,6,YAJHA CHE NDIVE,Canción,,LP2710,3'01,LP2710_1z1_B06.mp3
A,1,DALE TU MANO AL INDIO,(Cancion para mi América),,LP2707,1'56,LP2707_1z1_A01.mp3
A,2,A DESALAMBRAR !,BRISONS LES CLOTURES!,,LP2707,2'20,LP2707_1z1_A02.mp3
A,3,DUERME NEGRITO,"DORS, PETIT NOIR",,LP2707,2'38,LP2707_1z1_A03.mp3
A,4,YO NACI EN JACINTO VERA,JE SUIS NE A JACINTO VERA,,LP2707,1'54,LP2707_1z1_A04.mp3
A,5,CRUZ DE LUZ,CROIX DE LUMIERE,,LP2707,2'18,LP2707_1z1_A05.mp3
A,6,MILONGA DE ANDAR LEJOS,MILONGA DES TERRES LOINTAINES,,LP2707,3'05,LP2707_1z1_A06.mp3
A,7,CANCION DEL HOMBRE NUEVO,CHANSON DE L'HOMME NOUVEAU,,LP2707,1'37,LP2707_1z1_A07.mp3
A,8,"a) REMONTANDO LOS RIOS
b) MI PUEBLO","a) EN REMONTANT LES FLEUVES
b) MON PAYS",,LP2707,1'14,LP2707_1z1_A08.mp3
B,1,"a) ME MATAN SI NO TRABAJO
b) SOLDADO, APRENDE A TIRAR
c) RONDA","a) ON ME TUE SI JE NE TRAVAILLE
b) SOLDAT, APPRENDS A TIRER
c) RONDE",,LP2707,2'22,LP2707_1z1_B01.mp3
B,2,"a) CANCIONES
Remansos Remansillo - Variación
-
Cortaron tres arboles
b) DOS BALADAS AMARILLAS","a) CHANSONS
Eaux dormantes - Reflet - Variation
On a coupé trois arbres.
b) DEUX BALLADES JAUNES",,LP2707,1'48,LP2707_1z1_B02.mp3
B,3,"a) MASA
b) PEDRO ROJAS","a) LA MASSE
b) PEDRO ROJAS",,LP2707,1'24,LP2707_1z1_B03.mp3
1.a,1,SERENATA DEL CORAZON,,2.20,LP2712,missing,LP2712_1z1_1.a01.mp3
1.a,2,TE VUELVO A ENCONTRAR,,3.05,LP2712,missing,LP2712_1z1_1.a02.mp3
1.a,3,NOCHES DEL TRIANGULO,,2 12,LP2712,missing,LP2712_1z1_1.a03.mp3
1.a,4,LA VERDAD DE TU AMOR,,2 12,LP2712,missing,LP2712_1z1_1.a04.mp3
1.a,5,ALFONSO LOMA,,2 20,LP2712,missing,LP2712_1z1_1.a05.mp3
1.a,6,COLONIA INDEPENDENCIA,,2.37,LP2712,missing,LP2712_1z1_1.a06.mp3
1b,1,CANTO AL PARAGUAY,,2.55,LP2712,missing,LP2712_1z1_1b01.mp3
1b,2,MIS NOCHES SIN TI,,3 30,LP2712,missing,LP2712_1z1_1b02.mp3
1b,3,PAJARO CAMPANA,,3.20,LP2712,missing,LP2712_1z1_1b03.mp3
1b,4,MI PALMERA DEL MAR,,3.00,LP2712,missing,LP2712_1z1_1b04.mp3
1b,5,NASAINDY POTY (Flor de la luna),,2.47,LP2712,missing,LP2712_1z1_1b05.mp3
1b,6,A MI MADRECITA,,2.27,LP2712,missing,LP2712_1z1_1b06.mp3
1,1,CHE AÑO MI REI (Solitario),(J B. Duarte),,LP2715,missing,LP2715_1z1_101.mp3
1,2,RO JHEYATA TERESITA (Te dejaré Teresita),(N D Girett-M. Peralta),,LP2715,missing,LP2715_1z1_102.mp3
1,3,NDE KEGUYPE PURAJHEI (Canto entre tu sueño),(G. Pérez),,LP2715,missing,LP2715_1z1_103.mp3
1,4,"CHE MBORACJHU TRIGUEÑITA (Mi amor tri-
gueñita)",(J B. Duarte),,LP2715,missing,LP2715_1z1_104.mp3
1,5,PYCASÚ MOROTEMI (Torcacita blanca),(T Gómez-l Insfran),,LP2715,missing,LP2715_1z1_105.mp3
1,6,EYU YEI CE YBOTY (Vuelve mi flor),"(E.
Pérez-A. Matto)",,LP2715,missing,LP2715_1z1_106.mp3
2,1,CHE YBOTY MOROTIMI (Mi blanca flor),(A. Peralta-N. D. Girett),,LP2715,missing,LP2715_1z1_201.mp3
2,2,"PURAJHEI CHE NOVIA RAME (Canción para mi
novia)",(L. Acevedo-l Pesoa),,LP2715,missing,LP2715_1z1_202.mp3
2,3,"NAI MO' A I CHE CAMBIA JHA (No creí que me
cambiaras)",(R. Pérez-C. Gill),,LP2715,missing,LP2715_1z1_203.mp3
2,4,"NDE TAPERE CHE REINDY (Canto a tu hogar de
ayer)",(T S. Mongelós-D. Chase),,LP2715,missing,LP2715_1z1_204.mp3
2,5,CAMISA RECAVO (En busca de camisa),(Arr Aguilera-Insfran),,LP2715,missing,LP2715_1z1_205.mp3
2,6,CHE NE' EMI EJHENDÚ (Escucha mis palabras),(T Gómez),,LP2715,missing,LP2715_1z1_206.mp3
A,1,MACHUPE GUARA,(Cristín Palma-Aristóbulo Aguilera),,LP2714,2'06,LP2714_1z1_A01.mp3
A,2,TECHAGA U CHE NË ÄME,(Valentín Gamarra-Aristóbulo Aguilera),,LP2714,2'42,LP2714_1z1_A02.mp3
A,3,MORENA YURU CLAVEL,(Emilio Bobadilla Cáceres-S. R. Leguizamón),,LP2714,2'42,LP2714_1z1_A03.mp3
A,4,CHE CAMBA RESA YAYAI,,,LP2714,2'50,LP2714_1z1_A04.mp3
A,5,CATÜI CHE MANDU A,(Hilarión Correa),,LP2714,1'53,LP2714_1z1_A05.mp3
A,6,ORQUETA POTY,(T. R. García-Carlos Britez),,LP2714,2'00,LP2714_1z1_A06.mp3
B,1,MI SUEÑO ESPERADO,(S. A. de los Ríos-Florencio Blanco),,LP2714,2'18,LP2714_1z1_B01.mp3
B,2,DON LAVITO,(Nelson Enciso),,LP2714,2'29,LP2714_1z1_B02.mp3
B,3,PITOGUE YURU MY YN I,(Valerio Pereira-Mamerto González),,LP2714,2'58,LP2714_1z1_B03.mp3
B,4,GLADYS MIRTHA,(Esteban López),,LP2714,2'30,LP2714_1z1_B04.mp3
B,5,NDE ARA YVOTY,(Agustín Pérez),,LP2714,2'26,LP2714_1z1_B05.mp3
B,6,JHA CARAPEGUA,(G. B. Lezcano-C. Villalba-E. López),,LP2714,3'08,LP2714_1z1_B06.mp3
1a,1,EL CONIFERAL,Marea,2.03,LP2709,missing,LP2709_1z1_1a01.mp3
1b,2,PAJARITO CANTOR,Taquirari de fuego,2.10,LP2709,missing,LP2709_1z1_1b02.mp3
1a,3,CHOLA MODERNA,Marea,2.30,LP2709,missing,LP2709_1z1_1a03.mp3
1b,4,MARIA INES,Marea lenta,2.05,LP2709,missing,LP2709_1z1_1b04.mp3
1a,5,EL MAR DE PUJATO,Marea lenta,2.10,LP2709,missing,LP2709_1z1_1a05.mp3
1b,6,DE SAN JUAN,Taquirari de fuego,208,LP2709,missing,LP2709_1z1_1b06.mp3
2a,1,PLATERITO,Taquirari de fuego,1.45,LP2709,missing,LP2709_1z1_2a01.mp3
2b,2,MAREA DEL CUMPLEAÑOS,,1:27,LP2709,missing,LP2709_1z1_2b02.mp3
2a,3,AMOROSAS,Taquirari de fuego,2.05,LP2709,missing,LP2709_1z1_2a03.mp3
2b,4,PARA VIGO ME VOY,Marea,240,LP2709,missing,LP2709_1z1_2b04.mp3
2a,5,SALTARIN,Marea lenta,,LP2709,missing,LP2709_1z1_2a05.mp3
2b,6,CARLOS PAZ,Taquirari,1.26,LP2709,missing,LP2709_1z1_2b06.mp3
1.a,1,SARIA,(Canto del Saria) - Polca,2:46,LP2713,missing,LP2713_1z1_1.a01.mp3
1.b,2,VACA RETA,(Querencia del ganado) - Polca,3:18,LP2713,missing,LP2713_1z1_1.b02.mp3
1.c,3,VARELITA SAPUCAI,(El grito de Varelita) - Galopa,1:50,LP2713,missing,LP2713_1z1_1.c03.mp3
1.d,4,BAHIA NEGRA POTY,(Flor de Bahía Negra) - Polca,2:32,LP2713,missing,LP2713_1z1_1.d04.mp3
1.e,5,LAS TRES MARIAS,Polca,2:10,LP2713,missing,LP2713_1z1_1.e05.mp3
1.f,6,SOLDADO CHACO,Polca,2:37,LP2713,missing,LP2713_1z1_1.f06.mp3
2.a,1,PYCUIPE,(Torcacita) - Polca,2:38,LP2713,missing,LP2713_1z1_2.a01.mp3
2.b,2,CHACO BOREAL,Marcha,2:28,LP2713,missing,LP2713_1z1_2.b02.mp3
2.c,3,MBORALJHU JHA TAPERE,(Tapera y amor) Polca,2:52,LP2713,missing,LP2713_1z1_2.c03.mp3
2.d,4,A MI ESTELITA,Polca,2:37,LP2713,missing,LP2713_1z1_2.d04.mp3
2.e,5,CO-AICHANTE AICOSE,(Quisiera vivir así) - Canción,3:12,LP2713,missing,LP2713_1z1_2.e05.mp3
2.f,6,ROSA ISABEL,Polca,2:51,LP2713,missing,LP2713_1z1_2.f06.mp3
2.g,7,EN MI PENSAMIENTO,Canción,3:33,LP2713,missing,LP2713_1z1_2.g07.mp3
2.h,8,VIVA SAN JUAN,Polca,2:13,LP2713,missing,LP2713_1z1_2.h08.mp3
A,1,Eso es el carnaval,"chant seul
populaire",1'57,LP2706,2'00,LP2706_1z1_A01.mp3
A,2,Concerto pour un été,"fanfare
Alain Morisod",2'10,LP2706,2'00,LP2706_1z1_A02.mp3
A,3,"Murga
Chant avec rythmique
(Pot-pourri)",,2'03,LP2706,2'41,LP2706_1z1_A03.mp3
A,4,"Llamadas
(tambours)",,4'19,LP2706,4'24,LP2706_1z1_A04.mp3
A,5,"Yo no se que me han hecho tus ojos
populaire",,2'20,LP2706,2'10,LP2706_1z1_A05.mp3
A,6,"Murga
chant",,2'00,LP2706,2'04,LP2706_1z1_A06.mp3
B,1,"Thème du film ""Le Parrain""",,2'35,LP2706,2'13,LP2706_1z1_B01.mp3
B,2,Chant,,2'50,LP2706,2'09,LP2706_1z1_B02.mp3
B,3,Llamadas (tambours),,4'00,LP2706,2'59,LP2706_1z1_B03.mp3
B,4,Petite Fanfare,,2'05,LP2706,4'05,LP2706_1z1_B04.mp3
B,5,Orchestre,,1'12,LP2706,2'28,LP2706_1z1_B05.mp3
B,6,Murga Rythmique (samba),,2'45,LP2706,1'18,LP2706_1z1_B06.mp3
B,7,"La prohibition (chant + accordéon)
populaire",,1'25,LP2706,2'49,LP2706_1z1_B07.mp3
A,1,ADIOS PUEBLO,Gregorio Cabrera,,LP2727,3'03,LP2727_1z1_A01.mp3
A,2,CONU'U RECAVO,Justo B. Roa,,LP2727,2'07,LP2727_1z1_A02.mp3
A,3,A CARMENCITA,C. Marín Juan B. Barrios,,LP2727,3'18,LP2727_1z1_A03.mp3
A,4,CHE JHEGUI PA RE CANY,Diosnel Chase - Miguel G. Fariña,,LP2727,2'17,LP2727_1z1_A04.mp3
A,5,MARIA CELIA,Gabino Espinola,,LP2727,2'37,LP2727_1z1_A05.mp3
A,6,PEQUEÑA,Oscar Riso,,LP2727,2'47,LP2727_1z1_A06.mp3
B,7,ADIOS OTILIA,Antonio Aguilar Pedro Gauto,,LP2727,missing,LP2727_1z1_B07.mp3
B,8,NDE REHJE AMA'ÉVO,Justo B. Roa,,LP2727,missing,LP2727_1z1_B08.mp3
B,9,MBORACJU NE' É,Justo B. Roa - G. Espinola,,LP2727,missing,LP2727_1z1_B09.mp3
B,10,MIRTA Y FATY,Melanio Alvarenga - Graciela B. Molina,,LP2727,missing,LP2727_1z1_B10.mp3
B,11,DON QUIRINO,Nelson Enciso,,LP2727,missing,LP2727_1z1_B11.mp3
B,12,ADIOS INGRATA,Benito Parodi Luis Giménez,,LP2727,missing,LP2727_1z1_B12.mp3
A,1,MI PUEBLITO SUPUCAI,(F. Bogado),,LP2732,3'08,LP2732_1z1_A01.mp3
A,2,MUCHACHITA,(Mitacuñá) (Félix V. Bogado),,LP2732,2'18,LP2732_1z1_A02.mp3
A,3,A PARAGUARI,(F. V. Bogado - A. Vera),,LP2732,2'23,LP2732_1z1_A03.mp3
A,4,CHE SY PORE'Y ME,(Félix V. Bogado),,LP2732,2'41,LP2732_1z1_A04.mp3
A,5,VY'A'Y YUAJU RIRE,(Hery Lugo - F. V. Bogado),,LP2732,2'30,LP2732_1z1_A05.mp3
A,6,NDE REJHE'Y,(N. Norton - M. Mora),,LP2732,2'23,LP2732_1z1_A06.mp3
B,1,CHE RA'AROMI CHE CAMBA,(Andrés C. Zaldívar),,LP2732,3'27,LP2732_1z1_B01.mp3
B,2,MI DIOSA AUSENTE,(A. Chilabert F. V. Bogado),,LP2732,3'28,LP2732_1z1_B02.mp3
B,3,ROGELIO ALVARENGA,(A. Chilabert - F. V Bogado),,LP2732,3'05,LP2732_1z1_B03.mp3
B,4,NE ÑAÑAGUI CHE CAMBA,(Ramón Vargas C.),,LP2732,2'13,LP2732_1z1_B04.mp3
B,5,NDE RECHA SEGUI,(Isaac Chilabert),,LP2732,2'16,LP2732_1z1_B05.mp3
B,6,NDE PUCAVY CHE RENOI,(Hnos. Yambay),,LP2732,2'44,LP2732_1z1_B06.mp3
