Face,Track Number,Track_Name,Track_Composer,Track_Length,LP_ID,Track Length,Track Filename
A,1,MAMA VIEJA,,,LP2850,3'07,LP2850_1z1_A01.mp3
A,2,CUECA DE VILLA RIVERO,,,LP2850,2'52,LP2850_1z1_A02.mp3
A,3,CARMEN ROSA,,,LP2850,2'39,LP2850_1z1_A03.mp3
A,4,CANTA PAJARILLO,,,LP2850,2'49,LP2850_1z1_A04.mp3
A,5,SIN NOMBRE,,,LP2850,2'50,LP2850_1z1_A05.mp3
A,6,DESTACAMENTO 111,,,LP2850,3'40,LP2850_1z1_A06.mp3
B,1,PICAFLOR,,,LP2850,2'45,LP2850_1z1_B01.mp3
B,2,MI CONSUELO,,,LP2850,2'50,LP2850_1z1_B02.mp3
B,3,SANLORENCINA,,,LP2850,2'51,LP2850_1z1_B03.mp3
B,4,SELECCION DE HUAYÑOS,,,LP2850,2'37,LP2850_1z1_B04.mp3
B,5,TRAICION,,,LP2850,2'49,LP2850_1z1_B05.mp3
B,6,VALLE Y CORDILLERA,,,LP2850,2'42,LP2850_1z1_B06.mp3
A,1,ARI CHOLITA,Panchito Sosa,,LP2845,4'52,LP2845_1z1_A01.mp3
A,2,ALBANIL,Panchito Sosa,,LP2845,1'26,LP2845_1z1_A02.mp3
A,3,PAÑUELO BLANCO,Del Folklore Boliviano,,LP2845,3'14,LP2845_1z1_A03.mp3
A,4,FUSILAMIENTO,Panchito Sosa,,LP2845,3'27,LP2845_1z1_A04.mp3
A,5,HUASCAS COSTALES,Panchito Sosa,,LP2845,2'42,LP2845_1z1_A05.mp3
A,6,LA PULGUITA,Panchito Sosa,,LP2845,3'23,LP2845_1z1_A06.mp3
B,1,PANCHITO EN COCHABAMBA,Panchito Sosa,,LP2845,12'42,LP2845_1z1_B01.mp3
B,2,COPAS DE LICOR,DR.,,LP2845,missing,LP2845_1z1_B02.mp3
B,3,BAILECITOS,Panchito Sosa,,LP2845,missing,LP2845_1z1_B03.mp3
B,4,EL AVENTURERO,D. R.,,LP2845,missing,LP2845_1z1_B04.mp3
1.a,1,Loco de amor,J. M. Arteaga,,LP2842,missing,LP2842_1z1_1.a01.mp3
1.b,2,Gotas de llanto,Dpto. del Folklore Boliv,,LP2842,missing,LP2842_1z1_1.b02.mp3
1.c,3,Orgullosa Pocohuateña,Los Pocohuateños,,LP2842,missing,LP2842_1z1_1.c03.mp3
1.d,4,Cruzando la cordillera,Dpto. del Folklore Boliv.,,LP2842,missing,LP2842_1z1_1.d04.mp3
1.e,5,Leche Yuro,Dpto. del Folklore Boliv,,LP2842,missing,LP2842_1z1_1.e05.mp3
1.f,6,Carnaval Valluna,Dpto. del Folklore Boliv,,LP2842,missing,LP2842_1z1_1.f06.mp3
2.a,1,Pretenciosa,D. en A.,,LP2842,missing,LP2842_1z1_2.a01.mp3
2.b,2,Concepción,J. M. Arteaga,,LP2842,missing,LP2842_1z1_2.b02.mp3
2.c,3,Selección de Huayños,Dpto. el Folklore Boliv,,LP2842,missing,LP2842_1z1_2.c03.mp3
2.d,4,Camargueñita,Dpto. del Folk. Boliv,,LP2842,missing,LP2842_1z1_2.d04.mp3
2.e,5,Todos Santos,Dpto. del Folk. Boliv,,LP2842,missing,LP2842_1z1_2.e05.mp3
2.f,6,Quien si no tú,Dpto. del Folk. Boliv,,LP2842,missing,LP2842_1z1_2.f06.mp3
A,1,CAMINO DE ABROJOS.,Kaluyo,,LP2857,2'50,LP2857_1z1_A01.mp3
A,2,CUATRO ESTAMOS EN TU PUERTA.,Kaluyo,,LP2857,3'43,LP2857_1z1_A02.mp3
A,3,VIVA MI TIERRA.,Kaluyo,,LP2857,3'04,LP2857_1z1_A03.mp3
A,4,LA VIDITA.,Carnaval vallegrandino,,LP2857,3'39,LP2857_1z1_A04.mp3
A,5,VIAJERITA.,Taquirari,,LP2857,2'38,LP2857_1z1_A05.mp3
A,6,TU RECUERDO.,Carnaval,,LP2857,2'43,LP2857_1z1_A06.mp3
B,1,AGUILITA.,Kaluyo,,LP2857,3'25,LP2857_1z1_B01.mp3
B,2,VALLEGRANDINO.,Kaluyo,,LP2857,2'47,LP2857_1z1_B02.mp3
B,3,CARIDAD.,Kaluyo,,LP2857,3'27,LP2857_1z1_B03.mp3
B,4,SAUCESITO.,Kaluyo,,LP2857,3'10,LP2857_1z1_B04.mp3
B,5,NEGRA ZAMBA.,Kaluyo,,LP2857,3'32,LP2857_1z1_B05.mp3
B,6,CIERTO VIDITA.,Kaluyo,,LP2857,3'11,LP2857_1z1_B06.mp3
1.a,1,RIŇA JHÁPE GUARÉ,Silverio Rojas,,LP2735,missing,LP2735_1z1_1.a01.mp3
1.a,2,TUPÄSY DEL CAMPO,Ramón Vargas Colmán-Emiliano Fernández,,LP2735,missing,LP2735_1z1_1.a02.mp3
1.a,3,TENIENTE ROJAS SILVA,Emilio R. Fernández-Silverio Rojas,,LP2735,missing,LP2735_1z1_1.a03.mp3
1.a,4,MINERO SAPUCÁI,Emilio Bigi-Teodoro S. Mongelós,,LP2735,missing,LP2735_1z1_1.a04.mp3
1.a,5,AQUELLA NOCHE,Emiliano R. Fernández-Pedro J Carlés,,LP2735,missing,LP2735_1z1_1.a05.mp3
1.a,6,EN TU VENTANA,Emiliano R. Fernández-Ramón Vargas Colmán,,LP2735,missing,LP2735_1z1_1.a06.mp3
1b,1,NESÚ JHÁPE,Emliiano R. Fernández-Ramón Vargas Colmán,,LP2735,missing,LP2735_1z1_1b01.mp3
1b,2,EL JARDIN DE MI AMOR,Martín Leguizamón-Cirilo Zayas,,LP2735,missing,LP2735_1z1_1b02.mp3
1b,3,INGRATITUD,Emiliano R. Fernández-Andrés Cuenca Saldívar,,LP2735,missing,LP2735_1z1_1b03.mp3
1b,4,SEPARACION,Emi iano R. Fernández-Ramón Vargas Colmán,,LP2735,missing,LP2735_1z1_1b04.mp3
1b,5,DANZA PARAGUAYA,Agustín Barrios,,LP2735,missing,LP2735_1z1_1b05.mp3
1b,6,CO'ÁPE CHE AVY ÁVÉ,Emi iano R. Fernández-Ramón Vargas Colmán,,LP2735,missing,LP2735_1z1_1b06.mp3
A,1,MI SUEÑO DE ROSA,"Alfonso R. Adorno-Prisciliano
Villalba",,LP2720,2'25,LP2720_1z1_A01.mp3
A,2,ROJHECHA SETEGUI,Cristín Palma,,LP2720,2'00,LP2720_1z1_A02.mp3
A,3,FLOR YUTEÑA,Aristóbulo Aguilera,,LP2720,2'18,LP2720_1z1_A03.mp3
A,4,CHE MBORACJHU REJHE Y,A. Ayala,,LP2720,2'25,LP2720_1z1_A04.mp3
A,5,VYRO REMBIAPO,"José A. Acuña-
Bernardo Avalos.",,LP2720,2'38,LP2720_1z1_A05.mp3
A,6,RAMONCITO,Ramón Domínguez,,LP2720,2'31,LP2720_1z1_A06.mp3
B,1,SAIDI,Prisciliano Villalba-Ramón Miers.,,LP2720,2'20,LP2720_1z1_B01.mp3
B,2,PARA TI GLORIA,Pedro Penayo,,LP2720,2'15,LP2720_1z1_B02.mp3
B,3,TUS OJERAS,Anatacio Rolón Medina-Bernardo Avalos.,,LP2720,2'57,LP2720_1z1_B03.mp3
B,4,NDE RESA YBOTYMI,"C. Salas
Gutiérrez-Delpilar Alvarenga",,LP2720,2'28,LP2720_1z1_B04.mp3
B,5,FARRA I,Marco Torres,,LP2720,2'23,LP2720_1z1_B05.mp3
B,6,AL IRME,Ponciano Florentin-Primitivo Navero.,,LP2720,2'11,LP2720_1z1_B06.mp3
A,1,TENIENTE ROJAS SILVA,Emiliano R. Fernández S. Rojas V.,,LP2728,3'20,LP2728_1z1_A01.mp3
A,2,AQUELLA NOCHE,Pedro J. Carlés - E. R. Fernández.,,LP2728,3'00,LP2728_1z1_A02.mp3
A,3,YVA POBO POTY,"E. R. Fernández
Nito González.",,LP2728,3'11,LP2728_1z1_A03.mp3
A,4,"CO, E TI YA VE",E. R. Fernández - E. Bobadilla Cáceres.,,LP2728,2'39,LP2728_1z1_A04.mp3
A,5,CELINA GAONA,E. R. Fernández - Alejandro Villamayor.,,LP2728,2'36,LP2728_1z1_A05.mp3
A,6,EN TU VENTANA,Emiliano R. Fernández - Ramón Vargas C.,,LP2728,2'31,LP2728_1z1_A06.mp3
B,7,ADIOS MI SUEÑO ADORADO,Pablo Barrios - Iglesias.,,LP2728,missing,LP2728_1z1_B07.mp3
B,8,MI NOVIA AUSENTE,E. R. Fernández - Justo B. Roa.,,LP2728,missing,LP2728_1z1_B08.mp3
B,9,MITA' I RODANTE,Valois Cañete.,,LP2728,missing,LP2728_1z1_B09.mp3
B,10,PUNTEADA OCARA,Enrique Coffier.,,LP2728,missing,LP2728_1z1_B10.mp3
B,11,TRIGUEÑITA,E. R. Fernández - A. Cáceres.,,LP2728,missing,LP2728_1z1_B11.mp3
B,12,TRANSITANDO,E. R. Fernández - B. Melgarejo Molina.,,LP2728,missing,LP2728_1z1_B12.mp3
A,1,EL ARRIERO,R. Fontao Meza - F. P. Cardozo,,LP2729,2'47,LP2729_1z1_A01.mp3
A,2,NANDE ROGA MÍ,Ignacio Melgarejo,,LP2729,2'26,LP2729_1z1_A02.mp3
A,3,BELLA CAMPESINA,O. Corrales - Juan B. Duarte,,LP2729,2'33,LP2729_1z1_A03.mp3
A,4,MINERO SAPUCAI,Emilio Biggi - Teodoro S. Mongelos,,LP2729,2'43,LP2729_1z1_A04.mp3
A,5,OCARAGUA MBORAY JÚ,J. Alarcón - Carlos M. Giménez,,LP2729,2'55,LP2729_1z1_A05.mp3
A,6,CHE MITÄRAMO GUARE,Aníbal Vera,,LP2729,3'11,LP2729_1z1_A06.mp3
B,7,ANGEL DE LA SIERRA,E. Bobadilla Cáceres - C. M. Giménez,,LP2729,3'35,LP2729_1z1_B07.mp3
B,8,NDE VE CHE VALLE,O. Corrales - Juan B. Duarte,,LP2729,missing,LP2729_1z1_B08.mp3
B,9,DANZA PARAGUAYA,Agustín Barrios,,LP2729,missing,LP2729_1z1_B09.mp3
B,10,CHE SY MITA NAÑUA,Enrique C. Bogado,,LP2729,missing,LP2729_1z1_B10.mp3
B,11,OCARAGUA MÍ,Emilio Biggi,,LP2729,missing,LP2729_1z1_B11.mp3
B,12,VAPOR CUE,Cecilio Martínez,,LP2729,missing,LP2729_1z1_B12.mp3
B,13,ARROYOS Y ESTEROS,Mot. Popular Paraguayo - Arreglo M. Cardozo Ocampo,,LP2729,missing,LP2729_1z1_B13.mp3
B,14,RINA JHAPE GUARE,Silveiro Rojas Vargas,,LP2729,missing,LP2729_1z1_B14.mp3
A,1,BAJO EL REINO DE LAS ESTRELLAS,G. Larramendia,,LP2721,2'57,LP2721_1z1_A01.mp3
A,2,ISLA SACA,Santiago Cortesi,,LP2721,2'50,LP2721_1z1_A02.mp3
A,3,YO SE QUE VENDRAS,"Agustín Larramendia Rodolfo
Fuen",,LP2721,2'52,LP2721_1z1_A03.mp3
A,4,MISIONES,F. Pérez Cardozo,,LP2721,2'41,LP2721_1z1_A04.mp3
A,5,ESPERANZA BLANCA,A. Larramendia J. Herrera,,LP2721,2'34,LP2721_1z1_A05.mp3
A,6,CAMPAMENTO CERRO LEON,Arreglo F. Pérez Cardozo,,LP2721,1'55,LP2721_1z1_A06.mp3
B,7,CANTO AL PARAGUAY,"A. de los Ríos E. Cardozo - H.
J. Altinier",,LP2721,missing,LP2721_1z1_B07.mp3
B,8,PALOMA BLANCA,"N. Norton
A. de los
Ríos",,LP2721,missing,LP2721_1z1_B08.mp3
B,9,ANI,Santiago Cortesi,,LP2721,missing,LP2721_1z1_B09.mp3
B,10,"TU CANCION, MADRE",G. Larramendia,,LP2721,missing,LP2721_1z1_B10.mp3
B,11,CHE PARAJE CUE,F. Pérez Cardozo E. R. Fernández,,LP2721,missing,LP2721_1z1_B11.mp3
B,12,TETAGUA SAPUCAY (Grito del Pueblo),"F. Pérez Cardoo - V
Montorfano",,LP2721,missing,LP2721_1z1_B12.mp3
1,1,Eres Rosa,E. R. Fernández - Nuñes B.,,LP2734,missing,LP2734_1z1_101.mp3
1,2,Sinceridad,E. R. Fernández - J. Guerreño,,LP2734,missing,LP2734_1z1_102.mp3
1,3,Para tí Nidia,Ramón Corvalán,,LP2734,missing,LP2734_1z1_103.mp3
1,4,Corochiré,E. R. Fernández - Monges,,LP2734,missing,LP2734_1z1_104.mp3
1,5,Che recové cué,Rec. Alfonso Ortíz,,LP2734,missing,LP2734_1z1_105.mp3
1,6,El cautiverio,E. R. Fernámdez - Nuñez B.,,LP2734,missing,LP2734_1z1_106.mp3
2,1,Mboriajhú memby,E. R. Fernández - Nuñez B.,,LP2734,missing,LP2734_1z1_201.mp3
2,2,Violeta poty mí,A. Pereira - J. Gonzálǝz,,LP2734,missing,LP2734_1z1_202.mp3
2,3,Flores del Señor,Emiliano R. Fernández - Nuñez B.,,LP2734,missing,LP2734_1z1_203.mp3
2,4,Trancitando,E. R. Fernández - Melga - Chase,,LP2734,missing,LP2734_1z1_204.mp3
2,5,Che ñe'e rendúro,E. R Fernández - Nuñez B.,,LP2734,missing,LP2734_1z1_205.mp3
2,6,Yajhántena China,R. Romero S. Alvarez,,LP2734,missing,LP2734_1z1_206.mp3
A,2,POR TUS DESDENES,-Huayño-,,LP2856,2'41,LP2856_1z1_A02.mp3
A,1,QUEJAS DEL ALMA,-Cueca-,,LP2856,3'04,LP2856_1z1_A01.mp3
A,3,JURAME EL CARIÑO,-Bailecito-,,LP2856,3'05,LP2856_1z1_A03.mp3
A,4,TE QUIERO CHAPAQUITA,,,LP2856,2'56,LP2856_1z1_A04.mp3
A,5,URUS,-Cacharpaya-,,LP2856,2'44,LP2856_1z1_A05.mp3
A,6,LEJOS DE TI,-Cueca-,,LP2856,3'02,LP2856_1z1_A06.mp3
B,1,EL ENAMORADO,-Huayño-,,LP2856,2'35,LP2856_1z1_B01.mp3
B,2,OJOS OSCUROS,-Cueca-,,LP2856,2'50,LP2856_1z1_B02.mp3
B,3,OJOS DE KORIQUILLA,-Cacharpaya-,,LP2856,2'55,LP2856_1z1_B03.mp3
B,4,VIDRIERITA DE CRISTAL,-Bailecito-,,LP2856,2'40,LP2856_1z1_B04.mp3
B,5,DESDENES,-Cueca-,,LP2856,3'05,LP2856_1z1_B05.mp3
B,6,AMAPOLA,-Huayño-,,LP2856,2'19,LP2856_1z1_B06.mp3
A,1,EL LAUKA,,,LP2843,3'02,LP2843_1z1_A01.mp3
A,2,CHUNCU CHUNQUITUY,,,LP2843,2'32,LP2843_1z1_A02.mp3
A,3,CARANDAYTI,,,LP2843,3'03,LP2843_1z1_A03.mp3
A,4,ADIOS MI DULCE BIEN,,,LP2843,2'22,LP2843_1z1_A04.mp3
A,5,AUSENCIA,M. Simeon Roncal-L. Guido Villagómez,,LP2843,3'20,LP2843_1z1_A05.mp3
A,6,LA GUITARRA,,,LP2843,2'57,LP2843_1z1_A06.mp3
B,1,LA HERIDA,,,LP2843,2'57,LP2843_1z1_B01.mp3
B,2,EL PATITO,,,LP2843,2'52,LP2843_1z1_B02.mp3
B,3,DESGARRADO,,,LP2843,3'15,LP2843_1z1_B03.mp3
B,4,ROSADA CINTITA,,,LP2843,2'49,LP2843_1z1_B04.mp3
B,5,TCHASCA NAWICITA,,,LP2843,3'01,LP2843_1z1_B05.mp3
B,6,FLOR BENIANITA,Gilberto Rojas,,LP2843,2'45,LP2843_1z1_B06.mp3
A,1,CONDOR PASA,Alomio Robles,,LP2859,3'13,LP2859_1z1_A01.mp3
A,2,DOS AMIGOS (EL LLANTO DE UNA MADRE),D. R.,,LP2859,4'45,LP2859_1z1_A02.mp3
A,3,ESTUDIO PARA CHARANGO,Mauro Nuñez,,LP2859,3'33,LP2859_1z1_A03.mp3
A,4,QUISIERA UN PUÑAL CHARAN-GUERITO HUAYÑO DE YUPANQUI,Dpto. Folklore,,LP2859,2'16,LP2859_1z1_A04.mp3
A,5,KJOSINAIRA,Arreglo de E. Jofré,,LP2859,2'34,LP2859_1z1_A05.mp3
B,1,SARKAWAY,D. R.,,LP2859,2'15,LP2859_1z1_B01.mp3
B,2,ALBOROSO COLLA,Antonio Pantoja,,LP2859,2'04,LP2859_1z1_B02.mp3
B,3,LLAMERADA,Dpto. Folklore,,LP2859,2'04,LP2859_1z1_B03.mp3
B,4,CULLAWUAS,Dpto. Folkore,,LP2859,1'52,LP2859_1z1_B04.mp3
B,5,SIKURIADA,Dpto. Folklore,,LP2859,2'35,LP2859_1z1_B05.mp3
B,6,LA PLATITA,E. Cavour F. Jofré,,LP2859,1'40,LP2859_1z1_B06.mp3
A,1,ASI HAY QUE SER,(Cueca),,LP2844,2'08,LP2844_1z1_A01.mp3
A,2,LOS MORENOS,(Morenada),,LP2844,3'32,LP2844_1z1_A02.mp3
A,3,CELOS,(Cueca),,LP2844,3'07,LP2844_1z1_A03.mp3
A,4,SORATEÑITA,(Huayño),,LP2844,2'53,LP2844_1z1_A04.mp3
A,5,MI SENTIR,(Cueca),,LP2844,3'06,LP2844_1z1_A05.mp3
A,6,EL AMOR ES LINDO,(Huayño),,LP2844,2'54,LP2844_1z1_A06.mp3
B,1,SED DE AMOR,(Cueca),,LP2844,2'47,LP2844_1z1_B01.mp3
B,2,SONIA,(Taquirari),,LP2844,2'29,LP2844_1z1_B02.mp3
B,3,ARBOLITO EN MINIATURA,(Cueca),,LP2844,2'58,LP2844_1z1_B03.mp3
B,4,NOCHES DE SUCRE,(Huayño),,LP2844,2'49,LP2844_1z1_B04.mp3
B,5,CUANDO ME VAYA DE LA PAZ,(Huayño),,LP2844,3'20,LP2844_1z1_B05.mp3
B,6,EN LAS CONCAVIDADES,(Cueca),,LP2844,3'09,LP2844_1z1_B06.mp3
A,1,Rosario,Calixto Mamani,,LP2851,3'31,LP2851_1z1_A01.mp3
A,2,Triunfo de Laja,Primo Aranda,,LP2851,2'39,LP2851_1z1_A02.mp3
A,3,Chiquita Pucareña,D. R.,,LP2851,3'25,LP2851_1z1_A03.mp3
A,4,Rosita,D R.,,LP2851,2'38,LP2851_1z1_A04.mp3
A,5,Juventud relámpago,D R.,,LP2851,2'39,LP2851_1z1_A05.mp3
A,6,Mi negra,Teodoro Rodríguez,,LP2851,3'01,LP2851_1z1_A06.mp3
B,1,Mamala alegre,Primo Aranda,,LP2851,2'58,LP2851_1z1_B01.mp3
B,2,Compadre Pedro,Primo Aranda,,LP2851,2'59,LP2851_1z1_B02.mp3
B,3,Manos en la cartuchera,Primo Aranda,,LP2851,3'16,LP2851_1z1_B03.mp3
B,4,El luminar doctorcito,Primo Aranda,,LP2851,2'07,LP2851_1z1_B04.mp3
B,5,Matraca amarilla,Primo Aranda,,LP2851,2'49,LP2851_1z1_B05.mp3
B,6,Robertito,Victor Idalgo,,LP2851,3'13,LP2851_1z1_B06.mp3
A,1,Madreselva (Planta de bosque),Emiliano R. Fernández,,LP2733,2'44,LP2733_1z1_A01.mp3
A,2,Che yvoty cué mí,Palca - E. R. Fernándes - Nuñez B.,,LP2733,2'24,LP2733_1z1_A02.mp3
A,3,Taravé dispará,Polca - Ramón Corvalán,,LP2733,2'37,LP2733_1z1_A03.mp3
A,4,Tu belleza,Polca E. R. Fernández - Nuñez B.,,LP2733,2'33,LP2733_1z1_A04.mp3
A,5,Mboriajhú äpi,Polca E. Franco F. Pérez,,LP2733,2'36,LP2733_1z1_A05.mp3
A,6,Dulce del Alma,Polca E. R. Fernández - J. P. Ojeda,,LP2733,2'24,LP2733_1z1_A06.mp3
B,1,Mba'épa che aipotá vé,Polca E. R. Fernández,,LP2733,2'50,LP2733_1z1_B01.mp3
B,2,Noche pasionaria,Polca E. R. Fernández - Nuñez B.,,LP2733,3'19,LP2733_1z1_B02.mp3
B,3,Nasaindyrö,Polca O. Corrales J. González,,LP2733,3'10,LP2733_1z1_B03.mp3
B,4,Che ñembyasy mombyry,Mot. Pop. Carabajal - Ovelar,,LP2733,2'54,LP2733_1z1_B04.mp3
B,5,En todas partes,Polca E. R. Fernández,,LP2733,2'00,LP2733_1z1_B05.mp3
B,6,Diosa amada,Polca E. R. Fernández - A. González,,LP2733,2'48,LP2733_1z1_B06.mp3
A,1,ROJHECHA CHE KEPE,Diosnel Chase Miguel G. Fariña,,LP2726,2'40,LP2726_1z1_A01.mp3
A,2,MARAPA REICUAASE,R. Recalde R. Fontao Meza,,LP2726,1'49,LP2726_1z1_A02.mp3
A,3,PYJHARE,E. Bobadilla Cáceres - D. González,,LP2726,3'16,LP2726_1z1_A03.mp3
A,4,ADELAIDA,Oscar Corrales J. Blas Duarte,,LP2726,3'05,LP2726_1z1_A04.mp3
A,5,MOMBYRY CHE REMBIACJUGUI,Rodolfo Roa,,LP2726,2'53,LP2726_1z1_A05.mp3
A,6,NE PORE' Y,"Mmilo Bigi
Mercedes Medina",,LP2726,2'40,LP2726_1z1_A06.mp3
B,7,NDE CHE ROSA PYTAITE,Antonio Aguilar Valois Cañete,,LP2726,missing,LP2726_1z1_B07.mp3
B,8,SOLDADITO DE MI PATRIA,Teodoro Villalba,,LP2726,missing,LP2726_1z1_B08.mp3
B,9,LIRIO MI POTY,Antonio Aguilar Arr. y Recop.,,LP2726,missing,LP2726_1z1_B09.mp3
B,10,MALVITA,Herminio Giménez,,LP2726,missing,LP2726_1z1_B10.mp3
B,11,CHE NDE RAYJHUJHA,Gerardo Arroyo,,LP2726,missing,LP2726_1z1_B11.mp3
B,12,CHINI,Ignacio Melgarejo,,LP2726,missing,LP2726_1z1_B12.mp3
A,1,Ne mba'érante Resedá,Hilarión Correa,,LP2739,2'22,LP2739_1z1_A01.mp3
A,2,Che rendúmína Ramoníta,E. Bobadilla Cáceres C. M. Giménez,,LP2739,2'33,LP2739_1z1_A02.mp3
A,3,Para tí Bella Vista,Papi Meza,,LP2739,2'01,LP2739_1z1_A03.mp3
A,4,Amorcíto cariñoso,R. Reyes M. Alvarenga,,LP2739,2'53,LP2739_1z1_A04.mp3
A,5,Nde rejhé yn,Neneco Norton Maneco Mora,,LP2739,2'21,LP2739_1z1_A05.mp3
A,6,Che ra'aromike cambá,Andrés C. Zaldivar,,LP2739,3'25,LP2739_1z1_A06.mp3
B,1,Che trigueña mí,Eladio Martínez,,LP2739,3'05,LP2739_1z1_B01.mp3
B,2,Adelaida,O. Corrales J. B. Duarte,,LP2739,3'03,LP2739_1z1_B02.mp3
B,3,Purajhéi mí che rupé,Jovino González,,LP2739,2'23,LP2739_1z1_B03.mp3
B,4,Adiós mi sueño adorado,P. Barrios Iglesias,,LP2739,2'34,LP2739_1z1_B04.mp3
B,5,Nostalgias Guaireñas,Aníbal Chilabert,,LP2739,2'46,LP2739_1z1_B05.mp3
B,6,Ne Ñañaguí che cambá,Ramón Vargas C.,,LP2739,2'14,LP2739_1z1_B06.mp3
A,1,TUYUTI,E. R. Fernández - R. Vargas C.,,LP2740,3'31,LP2740_1z1_A01.mp3
A,2,ALBA YOLANDA,Silverio Rojas,,LP2740,2'37,LP2740_1z1_A02.mp3
A,3,SERENATA OCARA,E. R. Fernández R. Vargas C.,,LP2740,2'36,LP2740_1z1_A03.mp3
A,4,NESU JHAPETE,E. R. Fernández - P. Ojeda,,LP2740,2'59,LP2740_1z1_A04.mp3
A,5,CHE AZUCENA MI POTY,Emiliano R. Fernández,,LP2740,2'43,LP2740_1z1_A05.mp3
A,6,Amambay,,,LP2740,missing,LP2740_1z1_A06.mp3
B,1,EN TU RECUERDO,E. R. Fernández P. Ojeda - Mujica,,LP2740,2'05,LP2740_1z1_B01.mp3
B,2,NE MA'E,Ramón Vargas C. L. Dami Terna,,LP2740,2'37,LP2740_1z1_B02.mp3
B,3,A CATALINA,Emiliano R. Fernández,,LP2740,2'37,LP2740_1z1_B03.mp3
B,4,ELSITA AMADA,Juancíto Báez F. V. Bogado,,LP2740,1'53,LP2740_1z1_B04.mp3
B,5,DESENGAÑO,E. R. Fernández-Ramírez Arce,,LP2740,2'45,LP2740_1z1_B05.mp3
B,6,ANINTENA NDE POCHY,E. R. Fernández F. V. Bogado,,LP2740,2'32,LP2740_1z1_B06.mp3
A,1,Flor de Margarita,Juan Espinoza,,LP2837,3'32,LP2837_1z1_A01.mp3
A,2,Araneñita,del Folklore Boliviano,,LP2837,3'00,LP2837_1z1_A02.mp3
A,3,Huérfana Virginia,Simeón Roncal,,LP2837,3'00,LP2837_1z1_A03.mp3
A,4,Arbolito de Naranjo,Departamento Folklore,,LP2837,1'28,LP2837_1z1_A04.mp3
A,5,Poutporri de Bailecitos,Depto. Folklore,,LP2837,2'40,LP2837_1z1_A05.mp3
A,6,Adios me dijo mi negra,Derechos Reservados,,LP2837,3'20,LP2837_1z1_A06.mp3
B,1,Pichinchas,Departamento Folklore,,LP2837,3'48,LP2837_1z1_B01.mp3
B,2,Hurpi ama huaganquichu,Mus. Juan Espinoza,,LP2837,3'18,LP2837_1z1_B02.mp3
B,3,Sargento,Departamento Folklore,,LP2837,3'10,LP2837_1z1_B03.mp3
B,4,Santa Cecilia,Departamento Folklore,,LP2837,2'56,LP2837_1z1_B04.mp3
B,5,Selección de diabladas,Departamento Folklore,,LP2837,3'30,LP2837_1z1_B05.mp3
B,6,Hay para qué,Departamento Folklore,,LP2837,3'02,LP2837_1z1_B06.mp3
A,1,12 DE OCTUBRE,(Andrés Pereira),,LP2731,3'08,LP2731_1z1_A01.mp3
A,2,EL ARRIBEÑO,(Polca) (A. Villamayor - N. Romero Valdovinos),,LP2731,2'16,LP2731_1z1_A02.mp3
A,3,PARA TI MARLENE,(Polca) (Juan Báez - Silverio Rojas V.),,LP2731,2'38,LP2731_1z1_A03.mp3
A,4,NDE RECHÁ GA'ÚGUI,(Polca) (C. M. González - F. González),,LP2731,3'42,LP2731_1z1_A04.mp3
A,5,MI FLOR NATIVA,(Polca) (Ramón Vargas C. - H. Isaac),,LP2731,2'40,LP2731_1z1_A05.mp3
A,6,MATEO GAMARRA,(Compuesto Pop. Paraguayo),,LP2731,3'48,LP2731_1z1_A06.mp3
B,1,TENIENTE GODOY,(Compuesto Arr. Silverio Rojas V.),,LP2731,2'37,LP2731_1z1_B01.mp3
B,2,FELICIDADES ELISABET,(Polca) (S. Rojas V. - V. Fleitas),,LP2731,2'20,LP2731_1z1_B02.mp3
B,3,EUGENIO DURE,(Polca) (Silverio Rojas V.),,LP2731,3'00,LP2731_1z1_B03.mp3
